Id,WnvPresent
1,1.29438886882e-08
2,7.87260092903e-09
3,3.57963939347e-08
4,1.51425611004e-08
5,7.28187979399e-09
6,1.6314194051e-08
7,3.57963939347e-08
8,4.95661496909e-08
9,9.87295982919e-09
10,6.40951487994e-09
11,2.8650795956e-08
12,1.29284291821e-08
13,5.47768175745e-09
14,1.37980969803e-08
15,2.8650795956e-08
16,4.53245470066e-08
17,1.26203308778e-08
18,7.27281411968e-09
19,3.58927474378e-08
20,1.30726336967e-08
21,7.10900271787e-09
22,1.43049387795e-08
23,3.58927474378e-08
24,4.51819788642e-08
25,1.6543687077e-07
26,1.00675327203e-07
27,5.39968802604e-07
28,2.47474665442e-07
29,7.72291392353e-08
30,1.81370312693e-07
31,5.39968802604e-07
32,8.04899280515e-07
33,2.33894428628e-07
34,1.32524645411e-07
35,6.95472852129e-07
36,3.2196653862e-07
37,9.83745950311e-08
38,2.26180526754e-07
39,6.95472852129e-07
40,1.0264433972e-06
41,2.96804511708e-07
42,1.66018637884e-07
43,8.23097595028e-07
44,3.77581373609e-07
45,1.19702221811e-07
46,2.61915528414e-07
47,8.23097595028e-07
48,1.19389950383e-06
49,2.21598622711e-07
50,1.26376075213e-07
51,6.67611403653e-07
52,3.10328279422e-07
53,9.4266008589e-08
54,2.18944010391e-07
55,6.67611403653e-07
56,9.9013578175e-07
57,1.47469916632e-07
58,9.96214725404e-08
59,4.70167470723e-07
60,2.29095737376e-07
61,7.76705309469e-08
62,1.73323346625e-07
63,4.70167470723e-07
64,7.29560772092e-07
65,1.88009395925e-07
66,1.01217783287e-07
67,6.38283910179e-07
68,2.76138333365e-07
69,7.65518463658e-08
70,2.01473047629e-07
71,6.38283910179e-07
72,9.12041377649e-07
73,1.91136908656e-06
74,1.05609998891e-06
75,3.5991590213e-06
76,1.27008092438e-06
77,5.20612263357e-07
78,9.87545617303e-07
79,3.5991590213e-06
80,3.30899834729e-06
81,3.18291698216e-07
82,1.7549862325e-07
83,8.81749390239e-07
84,3.97474061183e-07
85,1.25069345179e-07
86,2.75129365799e-07
87,8.81749390239e-07
88,1.25483127245e-06
89,1.33835596294e-06
90,7.47704902265e-07
91,2.66942963502e-06
92,1.00964954304e-06
93,4.07945912801e-07
94,7.77035270057e-07
95,2.66942963502e-06
96,2.72682497994e-06
97,1.13203261461e-06
98,6.46043133475e-07
99,2.2011531285e-06
100,8.82267049127e-07
101,3.56965762236e-07
102,6.60823527618e-07
103,2.2011531285e-06
104,2.41206155168e-06
105,2.67286912934e-07
106,1.38541810023e-07
107,8.94851191863e-07
108,3.63274554494e-07
109,9.90522286212e-08
110,2.63208680458e-07
111,8.94851191863e-07
112,1.16491759101e-06
113,1.03443099763e-08
114,6.34136104566e-09
115,2.85061475302e-08
116,1.20028992486e-08
117,5.76023756271e-09
118,1.31655459295e-08
119,2.85061475302e-08
120,4.33844424531e-08
121,7.98674479786e-08
122,5.87870676129e-08
123,3.00416732088e-07
124,1.18744386794e-07
125,3.79554762228e-08
126,1.09613079027e-07
127,3.00416732088e-07
128,4.25676394133e-07
129,1.4076163095e-07
130,1.01774980735e-07
131,3.78521900988e-07
132,1.98715610274e-07
133,7.92891715581e-08
134,1.65111627269e-07
135,3.78521900988e-07
136,6.18663186391e-07
137,1.22646349664e-06
138,6.6694033308e-07
139,2.57454418595e-06
140,9.88875572312e-07
141,3.88284185053e-07
142,7.70244343598e-07
143,2.57454418595e-06
144,2.66102492902e-06
145,1.17844232862e-08
146,6.93989461246e-09
147,3.30537910206e-08
148,1.28150867101e-08
149,6.56580585582e-09
150,1.39711579237e-08
151,3.30537910206e-08
152,4.44180381216e-08
153,1.480517214e-08
154,8.51406652715e-09
155,4.23137006947e-08
156,1.46996373113e-08
